Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-Nov-15,14.6,15.5,14.6,14.95,15.19879231,140765,261,2139458,108702,77.22,0.9,0.35
17-Nov-15,14.6,14.95,14.6,14.75,14.79267299,57677,122,853197,37727,65.41,0.35,0.15
16-Nov-15,14.55,15.2,14.25,14.85,14.73878046,73421,170,1082136,60109,81.87,0.95,0.3
13-Nov-15,15,15.3,14.65,14.75,14.88877589,103242,164,1537147,90986,88.13,0.65,-0.25
11-Nov-15,15.5,15.65,15.3,15.5,15.51286414,28801,53,446786,25136,87.27,0.35,0
10-Nov-15,15.4,15.75,15.1,15.5,15.52861665,74869,130,1162612,64305,85.89,0.65,0.1
9-Nov-15,15.5,16,14.7,15.6,15.44986102,156495,288,2417826,125164,79.98,1.3,0.1
6-Nov-15,17.7,18,15.55,15.9,16.70610231,195221,405,3261382,125214,64.14,2.45,-1.8
5-Nov-15,17.3,17.6,17,17.1,17.31207598,34639,123,599673,30789,88.89,0.6,-0.2
4-Nov-15,18.2,18.2,17,17.2,17.32490828,88585,225,1534727,70442,79.52,1.2,-1
3-Nov-15,18.4,18.4,17.4,17.5,17.69485314,73132,136,1294060,67346,92.09,1,-0.9
2-Nov-15,17.4,17.9,17.1,17.8,17.55073535,37873,149,664699,26890,71,0.8,0.4
30-Oct-15,17.75,18.1,17,17.4,17.64016517,95416,218,1683154,74659,78.25,1.1,-0.35
29-Oct-15,18.5,18.5,17.75,18,18.17687417,97363,197,1769755,77343,79.44,0.75,-0.5
28-Oct-15,18.8,18.9,17.75,18.2,18.20572336,78066,197,1421248,52904,67.77,1.15,-0.6
27-Oct-15,17.75,18.25,17.4,17.95,17.84583325,144921,294,2586236,114694,79.14,0.85,0.2
26-Oct-15,19,19.2,17.9,18.05,18.34133948,113163,266,2075561,76878,67.94,1.3,-0.95
23-Oct-15,19.95,19.95,18.55,18.95,19.4268163,143823,257,2794023,115748,80.48,1.4,-1
21-Oct-15,19.85,20.4,19.25,19.5,19.68743157,95899,251,1888005,79589,82.99,1.15,-0.35
20-Oct-15,20.2,20.9,19.7,19.85,20.22650752,312749,679,6325820,208776,66.76,1.2,-0.35
19-Oct-15,19.6,20.95,19.15,19.7,20.06420024,437880,916,8785712,316978,72.39,1.8,0.1
16-Oct-15,19.45,19.45,18.2,18.4,18.68981942,116516,191,2177663,96845,83.12,1.25,-1.05
15-Oct-15,20.65,20.65,18.75,19.05,19.40082055,194990,459,3782966,150888,77.38,1.9,-1.6
14-Oct-15,17.2,20.4,17.1,20,19.45238727,1013857,1623,19721939,706332,69.67,3.3,2.8
13-Oct-15,16.5,17.25,16.3,17.05,16.88352476,118669,156,2003551,85127,71.73,0.95,0.55
12-Oct-15,17.2,17.2,16.2,16.45,16.41989364,40053,107,657666,27132,67.74,1,-0.75
9-Oct-15,17,17.6,16.55,16.8,17.01842108,84957,162,1445834,51523,60.65,1.05,-0.2
8-Oct-15,17.6,17.6,16.35,16.9,16.92087092,78492,161,1328153,56725,72.27,1.25,-0.7
7-Oct-15,17.5,18.05,17.4,17.7,17.73238861,73461,224,1302639,48880,66.54,0.65,0.2
6-Oct-15,17.5,18,17.2,17.75,17.58527785,108639,269,1910447,76472,70.39,0.8,0.25
5-Oct-15,16.5,17.65,16.3,17.15,17.03456594,166233,363,2831707,137865,82.93,1.35,0.65
1-Oct-15,15.7,16.25,15.65,15.85,15.98605041,103874,231,1660535,71774,69.1,0.6,0.15
30-Sep-15,15.1,15.65,15.1,15.45,15.42089881,31820,84,490693,27220,85.54,0.55,0.35
29-Sep-15,14.5,15.6,14.5,15.08,15.24179786,38557,113,587678,30970,80.32,1.1,0.58
28-Sep-15,15.15,16.3,15.01,15.04,15.47291089,54856,127,848782,42421,77.33,1.29,-0.11
24-Sep-15,14.5,15.2,14.5,14.91,14.86388978,34259,93,509222,26374,76.98,0.7,0.41
23-Sep-15,14.44,14.74,14.32,14.68,14.60729807,40038,82,584847,31720,79.22,0.42,0.24
22-Sep-15,14.9,15.2,14.3,14.44,14.83965292,53590,137,795257,39192,73.13,0.9,-0.46
21-Sep-15,14.75,14.8,14.35,14.67,14.60424851,13746,45,200750,10721,77.99,0.45,-0.08
18-Sep-15,14.16,14.8,14.16,14.33,14.36194371,22987,73,330138,19590,85.22,0.64,0.17
16-Sep-15,14.15,14.65,14,14.03,14.13118961,24941,58,352446,19984,80.13,0.65,-0.12
15-Sep-15,13.81,14.8,13.81,14.45,14.30720567,22288,66,318879,15113,67.81,0.99,0.64
14-Sep-15,14,14.34,14,14.1,14.07861757,30960,95,435874,21299,68.8,0.34,0.1
11-Sep-15,14.01,14.65,13.81,14.07,14.08600321,41731,81,587823,36997,88.66,0.84,0.06
10-Sep-15,14.2,14.7,14.2,14.45,14.44391727,13489,27,194834,13239,98.15,0.5,0.25
9-Sep-15,14.7,15.15,14.41,14.9,14.777889,26973,95,398604,17781,65.92,0.74,0.2
8-Sep-15,14.05,14.6,14.05,14.45,14.21936692,38447,91,546692,31091,80.87,0.55,0.4
7-Sep-15,14.2,14.48,14.06,14.1,14.1417045,50443,84,713350,34103,67.61,0.42,-0.1
4-Sep-15,14.06,14.45,13.8,14.37,14.08572614,33747,89,475351,22405,66.39,0.65,0.31
3-Sep-15,14.45,14.5,14.06,14.37,14.3057428,30264,96,432949,22176,73.28,0.44,-0.08
2-Sep-15,14.8,14.8,14,14.19,14.1318633,79590,100,1124755,57254,71.94,0.8,-0.61
1-Sep-15,14.6,15.15,13.5,13.92,14.18164842,88897,153,1260706,66788,75.13,1.65,-0.68
31-Aug-15,14.35,15.35,14.35,14.85,14.83162685,14943,68,221629,10223,68.41,1,0.5
28-Aug-15,15.5,15.9,14.75,15.05,15.13689761,103172,223,1561704,71817,69.61,1.15,-0.45
27-Aug-15,14.5,15.3,14.5,15.15,15.04131304,44538,129,669910,22962,51.56,0.8,0.65
26-Aug-15,14.15,14.5,13.5,14.4,14.13395176,53146,164,751163,29390,55.3,1,0.25
25-Aug-15,15.3,15.3,13.05,14,13.82955591,92347,186,1277118,68435,74.11,2.25,-1.3
24-Aug-15,14.9,15.2,13.25,13.55,14.29616184,196396,347,2807709,161196,82.08,1.95,-1.35
21-Aug-15,16.05,16.2,14,15.55,15.40422343,126106,253,1942565,79631,63.15,2.2,-0.5
20-Aug-15,17,17,16.1,16.3,16.51404038,54735,156,903896,36186,66.11,0.9,-0.7
19-Aug-15,16.8,17.25,16.25,17.05,16.94462741,69836,196,1183345,51623,73.92,1,0.25
18-Aug-15,16.75,17.45,16.5,16.55,16.80313217,49678,213,834746,30372,61.14,0.95,-0.2
17-Aug-15,16.5,16.75,16.1,16.3,16.34252743,29983,119,489998,17373,57.94,0.65,-0.2
14-Aug-15,16.1,16.7,16.1,16.5,16.48828234,32131,124,529785,23590,73.42,0.6,0.4
13-Aug-15,17,17.2,16.25,16.35,16.62105208,56992,208,947267,39508,69.32,0.95,-0.65
12-Aug-15,17,17.9,16.5,16.55,16.95769763,98316,297,1667213,66815,67.96,1.4,-0.45
11-Aug-15,17.5,18,17,17.15,17.39570725,72867,193,1267573,53417,73.31,1,-0.35
10-Aug-15,18.45,18.45,17.5,17.75,18.00585308,123183,342,2218015,85314,69.26,0.95,-0.7
7-Aug-15,17.25,18.5,16.6,17.9,17.50232527,178904,432,3131236,121713,68.03,1.9,0.65
6-Aug-15,17.9,17.95,17,17.2,17.5369333,84260,308,1477662,54026,64.12,0.95,-0.7
5-Aug-15,16.5,19.65,16.5,17.45,17.65716945,261059,727,4609563,193278,74.04,3.15,0.95
4-Aug-15,15.9,16.6,15.55,16.45,16.0813014,151621,420,2438263,99053,65.33,1.05,0.55
3-Aug-15,16.3,16.3,15.5,15.85,15.83002831,128592,260,2035615,93446,72.67,0.8,-0.45
31-Jul-15,16.8,16.85,15.9,16.14,16.16055211,86215,243,1393282,62504,72.5,0.95,-0.66
30-Jul-15,16.65,16.67,15.81,16.39,16.29322976,83675,276,1363336,66902,79.95,0.86,-0.26
29-Jul-15,15.65,16.9,15.65,16.24,16.47480069,281853,705,4643472,231037,81.97,1.25,0.59
28-Jul-15,13.95,16.25,13.95,15.53,15.25426984,424899,797,6481524,353672,83.24,2.3,1.58
27-Jul-15,14.61,14.9,13.9,14,14.15090405,232565,336,3291005,211261,90.84,1,-0.61
24-Jul-15,15.75,16.25,14.5,14.62,15.04072779,449693,1010,6763710,329139,73.19,1.75,-1.13
23-Jul-15,18.5,19.5,15.5,16.22,18.02565435,1409079,2170,25399571,867936,61.6,4,-2.28
22-Jul-15,16.48,18.8,16.22,18.11,17.98467705,590291,1272,10616193,371764,62.98,2.58,1.63
21-Jul-15,16.75,17,16.25,16.42,16.63137817,76021,184,1264334,59306,78.01,0.75,-0.33
20-Jul-15,17.01,17.24,16.53,16.91,16.9598987,121617,278,2062612,105183,86.49,0.71,-0.1
17-Jul-15,16.94,17.88,16.1,16.97,17.12440925,309776,645,5304731,190581,61.52,1.78,0.03
16-Jul-15,16.75,17.25,16.16,16.87,16.90554429,282651,647,4778369,195068,69.01,1.09,0.12
