Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
8-Apr-15,12.25,12.5,12,12.27,12.28038551,50427,285,619263,46437,92.09,0.5,0.02
7-Apr-15,12.02,12.1,11.81,12.03,11.97069767,25800,104,308844,21300,82.56,0.29,0.01
6-Apr-15,11.73,12.09,11.52,12.02,11.87768531,36169,126,429604,33491,92.6,0.57,0.29
1-Apr-15,11.4,11.95,11.35,11.82,11.65043244,16303,123,189937,12582,77.18,0.6,0.42
31-Mar-15,11.79,11.94,11.5,11.64,11.63837425,15599,84,181547,13027,83.51,0.44,-0.15
30-Mar-15,11.99,12,11.5,11.65,11.61863054,21921,126,254692,20213,92.21,0.5,-0.34
27-Mar-15,12.1,12.14,11.3,11.32,11.48509198,64093,197,736114,61295,95.63,0.84,-0.78
26-Mar-15,11.2,12.74,11.01,11.76,11.94561072,82075,332,980436,68693,83.7,1.73,0.56
25-Mar-15,11.75,12.65,11.01,11.49,11.46366484,128677,503,1475110,97947,76.12,1.64,-0.26
24-Mar-15,9.69,11.66,9.69,11.64,10.88695467,356963,739,3886240,316821,88.75,1.97,1.95
23-Mar-15,10,10,9.71,9.72,9.796775145,40684,125,398572,37484,92.13,0.29,-0.28
20-Mar-15,10.7,10.7,9.83,9.97,10.05346623,31403,114,315709,25776,82.08,0.87,-0.73
19-Mar-15,10.44,10.79,10.2,10.29,10.41931141,20796,100,216680,14296,68.74,0.59,-0.15
18-Mar-15,10.23,10.49,9.81,10.44,10.24428925,51263,151,525153,43238,84.35,0.68,0.21
17-Mar-15,10.4,10.4,10.11,10.32,10.32017941,23187,129,239294,16470,71.03,0.29,-0.08
16-Mar-15,10.6,10.75,10.4,10.4,10.57763557,14845,98,157025,13045,87.87,0.35,-0.2
13-Mar-15,10.31,10.75,10.31,10.74,10.53891939,69387,189,731264,59630,85.94,0.44,0.43
12-Mar-15,10.99,10.99,10.3,10.46,10.39896945,10868,98,113016,9408,86.57,0.69,-0.53
11-Mar-15,10.3,10.75,10.3,10.37,10.44521614,17998,68,187993,13954,77.53,0.45,0.07
10-Mar-15,10.5,10.75,10.5,10.51,10.63545455,14300,84,152087,9811,68.61,0.25,0.01
9-Mar-15,10.96,11.1,10.5,10.61,10.64317437,27470,144,292368,17983,65.46,0.6,-0.35
5-Mar-15,11.17,11.17,10.92,10.99,11.02932058,30320,83,334409,28270,93.24,0.25,-0.18
4-Mar-15,10.75,11.6,10.75,10.93,11.27143968,64320,250,724979,42365,65.87,0.85,0.18
3-Mar-15,10.72,11.2,10.65,10.99,11.00360519,37446,140,412041,29174,77.91,0.55,0.27
2-Mar-15,10.71,11.06,10.71,10.94,10.9491118,39518,97,432687,36298,91.85,0.35,0.23
28-Feb-15,10.9,11.25,10.22,10.7,10.74159368,34825,195,374076,22525,64.68,1.03,-0.2
27-Feb-15,10.6,11.2,10.6,10.91,10.94977939,35583,165,389626,30260,85.04,0.6,0.31
26-Feb-15,10.52,11.25,10.25,11.18,10.80067292,19616,134,211866,15003,76.48,1,0.66
25-Feb-15,11.1,11.4,10.77,10.82,11.16212845,41683,153,465271,37698,90.44,0.63,-0.28
24-Feb-15,11.5,11.5,11,11.28,11.29823614,16668,143,188319,12366,74.19,0.5,-0.22
23-Feb-15,11.6,11.89,11.01,11.54,11.51575552,24182,185,278474,19034,78.71,0.88,-0.06
20-Feb-15,11.15,12.24,11.15,11.69,11.75814141,64393,286,757142,47494,73.76,1.09,0.54
19-Feb-15,10.6,11.57,10.4,11.24,11.03773758,108857,198,1201535,44012,40.43,1.17,0.64
18-Feb-15,10.6,10.99,10.5,10.61,10.65204232,72687,244,774265,63727,87.67,0.49,0.01
16-Feb-15,10.65,11.19,10.55,10.62,10.80019746,40515,215,437570,36107,89.12,0.64,-0.03
13-Feb-15,10.99,11.5,10.64,10.74,11.04262316,31931,262,352602,24701,77.36,0.86,-0.25
12-Feb-15,11,11,10.11,10.61,10.66734111,55354,246,590480,48033,86.77,0.89,-0.39
11-Feb-15,11.4,11.8,10.5,10.74,11.00213509,107724,390,1185194,90720,84.22,1.3,-0.66
10-Feb-15,12,12.24,11,11.79,11.78489465,66493,229,783613,57650,86.7,1.24,-0.21
9-Feb-15,12.15,12.73,11.8,12.01,12.06629036,30472,183,367684,25437,83.48,0.93,-0.14
6-Feb-15,13,13.05,12.5,12.58,12.70587125,47690,227,605943,35854,75.18,0.55,-0.42
5-Feb-15,12.56,13.14,12.5,12.69,12.80213497,82905,235,1061361,72100,86.97,0.64,0.13
4-Feb-15,13,13,12.46,12.7,12.7263417,30465,168,387708,24895,81.72,0.54,-0.3
3-Feb-15,12.8,13.6,12.62,12.9,13.12046238,24655,183,323485,19097,77.46,0.98,0.1
2-Feb-15,12.32,13.4,12.3,12.99,12.87953645,57038,336,734623,40440,70.9,1.1,0.67
30-Jan-15,12.42,12.78,12.02,12.5,12.41298257,27483,141,341146,24836,90.37,0.76,0.08
29-Jan-15,12.37,12.7,12.33,12.52,12.51346206,115027,257,1439386,107097,93.11,0.37,0.15
28-Jan-15,12.76,13.1,12.4,12.5,12.70062679,45151,340,573446,35816,79.32,0.7,-0.26
27-Jan-15,13.25,13.25,12.66,12.94,12.8812495,37743,253,486177,33493,88.74,0.59,-0.31
23-Jan-15,14.4,14.4,12.75,12.89,13.21019578,82799,377,1093791,78663,95,1.65,-1.51
22-Jan-15,13.25,14.55,12.72,14.06,13.68362604,181355,580,2481594,106952,58.97,1.83,0.81
21-Jan-15,14.6,14.99,13.29,13.89,14.01959347,236048,929,3309297,181347,76.83,1.7,-0.71
20-Jan-15,15.3,15.84,14.53,14.76,15.16916583,480895,1967,7294776,355931,74.01,1.31,-0.54
19-Jan-15,13.05,14.55,13.05,14.55,14.36812283,400437,940,5753528,392960,98.13,1.5,1.5
16-Jan-15,10.11,12.13,10.11,12.13,11.78838875,248087,1003,2924546,179410,72.32,2.02,2.02
15-Jan-15,10,10.43,10,10.11,10.25051242,20003,100,205041,14973,74.85,0.43,0.11
14-Jan-15,10.49,10.49,10.01,10.13,10.17439449,29892,187,304133,21410,71.62,0.48,-0.36
13-Jan-15,10.15,10.58,10.05,10.35,10.36977784,14314,102,148433,10093,70.51,0.53,0.2
12-Jan-15,10.3,10.55,10.08,10.25,10.30605245,41983,181,432679,36043,85.85,0.47,-0.05
9-Jan-15,10.23,10.55,10,10.24,10.2251612,36445,216,372656,30066,82.5,0.55,0.01
8-Jan-15,10.21,10.96,10,10.3,10.14147538,63997,283,649024,49133,76.77,0.96,0.09
7-Jan-15,10.31,10.6,9.81,10.19,10.10307279,71173,299,719066,64817,91.07,0.79,-0.12
6-Jan-15,10.89,10.89,9.98,10.45,10.20835306,61247,411,625231,46823,76.45,0.91,-0.44
5-Jan-15,11.48,11.48,10.5,10.65,10.89726086,93460,208,1018458,69860,74.75,0.98,-0.83
2-Jan-15,11.1,11.5,10.86,10.98,11.23586402,80716,457,906914,70345,87.15,0.64,-0.12
1-Jan-15,11.35,11.56,11.05,11.18,11.23353078,33426,209,375492,29886,89.41,0.51,-0.17
31-Dec-14,11.55,12.2,11.25,11.45,11.67369731,59454,347,694048,51734,87.02,0.95,-0.1
30-Dec-14,12,12.28,11.96,12.07,12.11296152,29603,194,358580,27355,92.41,0.32,0.07
29-Dec-14,12.49,12.49,11.88,12.07,12.17265676,38035,217,462987,30210,79.43,0.61,-0.42
26-Dec-14,12.19,12.7,11.9,12.04,12.19062405,75363,303,918722,64936,86.16,0.8,-0.15
24-Dec-14,12.3,12.45,11.8,12.19,12.04391714,95202,506,1146605,67036,70.41,0.65,-0.11
23-Dec-14,13.1,14,12.28,12.56,12.9562723,371092,1211,4807969,260951,70.32,1.72,-0.54
22-Dec-14,10.45,12.52,10.31,12.52,12.01944363,287652,907,3457417,209319,72.77,2.21,2.07
19-Dec-14,10.6,10.6,10.3,10.44,10.47011757,6124,63,64119,5309,86.69,0.3,-0.16
18-Dec-14,10.74,10.75,10.27,10.61,10.63453587,33374,192,354917,25164,75.4,0.48,-0.13
17-Dec-14,9.16,10.75,9.16,10.25,10.37827198,38356,162,398069,24334,63.44,1.59,1.09
16-Dec-14,10.41,10.57,9.9,10.02,10.23794868,118597,239,1214190,50735,42.78,0.67,-0.39
15-Dec-14,10.87,10.9,10.36,10.39,10.54622274,39526,140,416850,32549,82.35,0.54,-0.48
12-Dec-14,11,11.25,10.8,10.91,11.03707471,57020,242,629334,43302,75.94,0.45,-0.09
11-Dec-14,11.6,11.75,10.7,10.86,11.22758125,114179,460,1281954,52102,45.63,1.05,-0.74
10-Dec-14,9.91,11.15,9.91,10.96,10.78246368,107936,443,1163816,99379,92.07,1.24,1.05
9-Dec-14,10.21,10.79,10,10.17,10.46119469,67800,333,709269,47184,69.59,0.79,-0.04
8-Dec-14,10.89,11.8,10.18,10.37,11.08684958,188648,745,2091512,148766,78.86,1.62,-0.52
5-Dec-14,9.39,10.8,9.26,10.59,10.3196271,220970,909,2280328,185981,84.17,1.54,1.2
4-Dec-14,9.08,9.35,9.01,9.1,9.224584237,41490,156,382728,26360,63.53,0.34,0.02
3-Dec-14,8.7,9.33,8.7,9.08,9.168813725,65516,248,600704,48285,73.7,0.63,0.38
2-Dec-14,9,9.15,8.66,8.84,8.818701373,56167,216,495320,41852,74.51,0.49,-0.16
1-Dec-14,9.1,9.24,8.8,8.88,8.988241442,19135,135,171990,14308,74.77,0.44,-0.22
28-Nov-14,9,9.38,8.9,9.06,9.178213609,51702,175,474532,44153,85.4,0.48,0.06
27-Nov-14,8.81,9.2,8.75,8.9,9.010144515,28094,163,253131,23233,82.7,0.45,0.09
26-Nov-14,8.7,8.89,8.6,8.75,8.749601276,15048,121,131664,12257,81.45,0.29,0.05
25-Nov-14,8.86,8.9,8.56,8.67,8.659422731,53424,192,462621,41679,78.02,0.34,-0.19
24-Nov-14,9,9.18,8.75,8.91,8.961068624,49035,132,439406,46755,95.35,0.43,-0.09
21-Nov-14,8.92,9.29,8.92,9.01,9.093234383,41637,170,378615,28707,68.95,0.37,0.09
20-Nov-14,8.85,9.39,8.85,9.09,9.134805229,14992,139,136949,9907,66.08,0.54,0.24
19-Nov-14,9.29,9.44,9,9.07,9.233125695,68388,268,631435,52061,76.13,0.44,-0.22
18-Nov-14,9.15,9.54,9.11,9.23,9.373239044,53877,198,505002,42262,78.44,0.43,0.08
17-Nov-14,9.37,9.5,9.2,9.25,9.350124037,38295,146,358063,29874,78.01,0.3,-0.12
14-Nov-14,9,9.51,9,9.37,9.189340958,29027,179,266739,27450,94.57,0.51,0.37
13-Nov-14,9.25,9.39,8.99,9.04,9.154931364,102497,189,938353,90705,88.5,0.4,-0.21
12-Nov-14,9.45,9.85,9.05,9.22,9.351908905,88611,253,828682,80458,90.8,0.8,-0.23
11-Nov-14,9.65,9.95,9.4,9.43,9.679023607,27407,133,265273,25578,93.33,0.55,-0.22
10-Nov-14,10.39,10.39,9.66,9.74,9.929141025,23074,123,229105,19241,83.39,0.73,-0.65
7-Nov-14,10.75,10.75,9.49,10.08,9.945252217,132188,511,1314643,92561,70.02,1.26,-0.67
5-Nov-14,9.25,10,9.25,9.87,9.712898861,127112,523,1234626,88523,69.64,0.75,0.62
3-Nov-14,9.2,9.5,9.16,9.28,9.341623351,25010,145,233634,20785,83.11,0.34,0.08
31-Oct-14,9.17,9.41,9.05,9.11,9.171462537,61407,194,563192,45973,74.87,0.36,-0.06
30-Oct-14,9.5,9.6,9,9.3,9.296086227,109664,275,1019446,82591,75.31,0.6,-0.2
29-Oct-14,9.9,9.9,9.2,9.48,9.395623038,11789,97,110765,8715,73.92,0.7,-0.42
28-Oct-14,9.55,9.75,9.17,9.4,9.347774265,19297,63,180384,17147,88.86,0.58,-0.15
27-Oct-14,9.4,9.8,9.4,9.56,9.594934413,33086,97,317458,31801,96.12,0.4,0.16
23-Oct-14,9.5,9.75,9.23,9.5,9.495032599,19326,86,183501,17732,91.75,0.52,0
22-Oct-14,9.08,9.48,8.93,9.25,9.208829828,18211,166,167702,14972,82.21,0.55,0.17
21-Oct-14,9.19,9.19,8.75,8.89,8.895738894,15442,94,137368,9310,60.29,0.44,-0.3
20-Oct-14,9.1,9.5,8.86,9.01,9.06225794,10328,72,93595,8325,80.61,0.64,-0.09
17-Oct-14,9.1,9.1,8.82,9,9.005086681,9633,60,86746,8587,89.14,0.28,-0.1
16-Oct-14,9.15,9.15,8.92,8.96,9.040028231,19836,112,179318,15946,80.39,0.23,-0.19
14-Oct-14,8.83,9.09,8.83,9.02,9.002713467,22849,115,205703,17296,75.7,0.26,0.19
13-Oct-14,9.02,9.08,8.86,8.95,8.97014745,24822,122,222657,20981,84.53,0.22,-0.07
10-Oct-14,9.12,9.5,9,9.08,9.161489646,17964,101,164577,15353,85.47,0.5,-0.04
9-Oct-14,9.26,9.3,9,9.14,9.122121663,17458,144,159254,10926,62.58,0.3,-0.12
8-Oct-14,9.05,9.05,8.89,8.95,8.96020838,18044,110,161678,13200,73.15,0.16,-0.1
7-Oct-14,9.1,9.2,8.9,8.95,9.020012277,57015,136,514276,49935,87.58,0.3,-0.15
1-Oct-14,9.07,9.07,8.81,8.91,8.96149058,24098,144,215954,16982,70.47,0.26,-0.16
30-Sep-14,9.17,9.39,8.8,8.88,9.084250812,55133,153,500842,49591,89.95,0.59,-0.29
29-Sep-14,9.05,9.64,9.05,9.18,9.2606738,18878,162,174823,11810,62.56,0.59,0.13
26-Sep-14,9.95,9.95,9.12,9.15,9.243496054,47894,122,442708,36003,75.17,0.83,-0.8
25-Sep-14,9.9,9.9,9.15,9.17,9.298404997,19373,115,180138,12986,67.03,0.75,-0.73
24-Sep-14,10.5,10.5,9.4,9.52,9.672386273,40096,170,387824,33467,83.47,1.1,-0.98
23-Sep-14,10.75,10.89,9.65,9.89,10.27272631,94098,386,966643,76937,81.76,1.24,-0.86
22-Sep-14,11.25,11.25,10.61,10.74,10.90781602,51983,266,567021,46584,89.61,0.64,-0.51
19-Sep-14,10.2,11.1,10.2,10.74,10.83025316,94800,543,1026708,63794,67.29,0.9,0.54
18-Sep-14,10.6,10.75,10.3,10.53,10.5189124,54726,423,575658,33502,61.22,0.45,-0.07
17-Sep-14,10.41,10.75,10.4,10.55,10.49717896,47323,200,496758,30898,65.29,0.35,0.14
16-Sep-14,11,11.6,10.41,10.52,11.09614806,196239,691,2177497,156016,79.5,1.19,-0.48
15-Sep-14,11.35,11.35,10.62,10.99,10.99429914,85952,399,944982,60199,70.04,0.73,-0.36
12-Sep-14,10.31,11.49,10.31,11.26,11.10604954,310817,1320,3451949,224099,72.1,1.18,0.95
11-Sep-14,10.2,10.85,9.85,10.67,10.41562147,241501,604,2515383,136225,56.41,1,0.47
10-Sep-14,9.26,10.45,9.26,10.02,10.16159473,103215,392,1048829,84658,82.02,1.19,0.76
9-Sep-14,9.05,10.25,8.95,9.9,9.699186427,143810,661,1394840,91615,63.71,1.3,0.85
8-Sep-14,9,9.21,8.76,8.99,8.974876345,38211,218,342939,28227,73.87,0.45,-0.01
5-Sep-14,8.83,9,8.73,8.96,8.864207581,19655,126,174226,14358,73.05,0.27,0.13
4-Sep-14,9.18,9.18,8.81,8.85,8.919692485,27706,114,247129,22972,82.91,0.37,-0.33
3-Sep-14,8.9,9.21,8.9,8.92,9.038792276,46865,172,423603,36900,78.74,0.31,0.02
2-Sep-14,8.79,8.93,8.69,8.89,8.798421149,136175,301,1198125,125887,92.45,0.24,0.1
1-Sep-14,8.67,8.92,8.6,8.78,8.708649664,85749,296,746758,60548,70.61,0.32,0.11
28-Aug-14,8.56,8.97,8.56,8.9,8.807150866,16054,124,141390,13823,86.1,0.41,0.34
27-Aug-14,8.81,9.04,8.81,8.86,8.908748682,6641,51,59163,5286,79.6,0.23,0.05
26-Aug-14,9.15,9.15,8.81,8.81,9.005864386,8185,65,73713,7194,87.89,0.34,-0.34
25-Aug-14,9,9.25,9,9.16,9.189121507,89847,153,825615,84757,94.33,0.25,0.16
22-Aug-14,9.12,9.5,8.97,9.13,9.202140828,84827,314,780590,69147,81.52,0.53,0.01
21-Aug-14,9.06,9.41,9.05,9.27,9.283329863,28818,176,267527,24116,83.68,0.36,0.21
20-Aug-14,8.65,9.49,8.65,9.12,9.065880591,21372,239,193756,16524,77.32,0.84,0.47
19-Aug-14,8.6,8.85,8.6,8.71,8.72702377,18258,85,159338,16937,92.76,0.25,0.11
18-Aug-14,8.69,8.85,8.5,8.69,8.648446749,24497,122,211861,18239,74.45,0.35,0
14-Aug-14,8.51,8.6,8.42,8.47,8.482596257,16778,92,142321,15160,90.36,0.18,-0.04
13-Aug-14,8.67,8.7,8.45,8.54,8.610773691,32765,186,282132,24057,73.42,0.25,-0.13
12-Aug-14,8.59,8.78,8.55,8.67,8.619119526,8609,76,74202,6144,71.37,0.23,0.08
11-Aug-14,8.62,8.88,8.54,8.76,8.690851326,15423,95,134039,11905,77.19,0.34,0.14
8-Aug-14,8.99,8.99,8.58,8.6,8.63468241,14059,163,121395,13256,94.29,0.41,-0.39
7-Aug-14,8.81,9.04,8.75,8.76,8.79853874,35312,238,310694,25317,71.7,0.29,-0.05
6-Aug-14,8.98,9.39,8.8,8.97,8.888856868,20820,144,185066,12801,61.48,0.59,-0.01
5-Aug-14,8.9,9,8.76,8.96,8.895929149,32180,173,286271,28870,89.71,0.24,0.06
4-Aug-14,9.03,9.2,8.89,8.9,8.990566038,15052,110,135326,10952,72.76,0.31,-0.13
1-Aug-14,8.94,9.05,8.75,8.89,8.949823993,17897,111,160175,16031,89.57,0.3,-0.05
31-Jul-14,8.9,8.99,8.76,8.8,8.827482896,22363,133,197409,17644,78.9,0.23,-0.1
30-Jul-14,9.12,9.12,8.83,8.86,8.930964016,11255,95,100518,8350,74.19,0.29,-0.26
28-Jul-14,9,9.11,8.71,8.85,8.843495783,26798,154,236988,24821,92.62,0.4,-0.15
25-Jul-14,9.1,9.34,8.92,9,9.1343935,43075,186,393464,33361,77.45,0.42,-0.1
24-Jul-14,8.97,9.14,8.93,9.07,9.063674576,36875,130,334223,26545,71.99,0.21,0.1
23-Jul-14,9.1,9.25,9,9.02,9.036527771,40654,211,367371,37285,91.71,0.25,-0.08
22-Jul-14,9.9,9.9,8.97,9.08,9.198579142,246330,780,2265886,192769,78.26,0.93,-0.82
21-Jul-14,9.84,10.15,9.84,9.96,9.940997024,26880,135,267214,18131,67.45,0.31,0.12
18-Jul-14,10,10,9.65,9.73,9.755915318,12848,117,125344,12030,93.63,0.35,-0.27
17-Jul-14,10.23,10.23,9.71,9.95,9.97142644,26808,123,267314,20412,76.14,0.52,-0.28
16-Jul-14,9.24,10.05,9.24,9.93,9.801432361,56550,159,554271,40805,72.16,0.81,0.69
15-Jul-14,9.15,9.49,8.55,9.39,9.226999891,27489,153,253641,20512,74.62,0.94,0.24
14-Jul-14,9.64,9.7,8.91,9.08,9.206417507,65072,233,599080,55761,85.69,0.79,-0.56
11-Jul-14,10.3,10.3,9.5,9.64,9.812821474,58714,266,576150,48092,81.91,0.8,-0.66
10-Jul-14,10.14,10.49,9.75,10.03,10.20952735,42992,196,438928,31863,74.11,0.74,-0.11
9-Jul-14,10.06,10.09,9.85,10,9.982660077,36217,215,361542,25957,71.67,0.24,-0.06
8-Jul-14,10.4,11,9.88,10.06,10.51518087,97030,437,1020288,54753,56.43,1.12,-0.34
7-Jul-14,10.8,10.8,10.41,10.46,10.48674858,33204,204,348202,27462,82.71,0.39,-0.34
4-Jul-14,10.35,10.7,10.35,10.44,10.51907048,33953,202,357154,25006,73.65,0.35,0.09
3-Jul-14,10.76,11,10.57,10.6,10.6765255,37496,178,400327,34223,91.27,0.43,-0.16
2-Jul-14,10.8,11.3,10.76,11.12,11.13691609,101449,422,1129829,59331,58.48,0.54,0.32
1-Jul-14,10.8,10.96,10.35,10.93,10.71972811,88564,277,949382,60015,67.76,0.61,0.13
30-Jun-14,10.65,10.73,10.35,10.44,10.53884696,16166,249,170371,14101,87.23,0.38,-0.21
27-Jun-14,10.78,10.78,10.5,10.62,10.62543062,41800,159,444143,37740,90.29,0.28,-0.16
26-Jun-14,10.4,10.94,10.3,10.66,10.56081729,90739,259,958278,75449,83.15,0.64,0.26
25-Jun-14,10.35,10.6,10.3,10.46,10.40528794,33132,214,344748,24001,72.44,0.3,0.11
24-Jun-14,10.3,10.6,10.25,10.35,10.36823874,46478,311,481895,29265,62.97,0.35,0.05
23-Jun-14,10.05,10.49,10.05,10.4,10.29793686,20115,130,207143,13168,65.46,0.44,0.35
20-Jun-14,10.44,10.44,10,10.05,10.13705053,41160,246,417241,31246,75.91,0.44,-0.39
19-Jun-14,10.5,10.59,10.2,10.28,10.38673357,33483,228,347779,25728,76.84,0.39,-0.22
18-Jun-14,10.99,10.99,10.35,10.49,10.60438843,76565,162,811925,65829,85.98,0.64,-0.5
17-Jun-14,10.45,10.99,10.45,10.72,10.71276145,47236,262,506028,32907,69.67,0.54,0.27
16-Jun-14,10.4,10.9,10.26,10.71,10.53801929,37744,137,397747,21263,56.33,0.64,0.31
13-Jun-14,11.15,11.3,10.53,10.54,10.82159145,62710,291,678622,51499,82.12,0.77,-0.61
12-Jun-14,11.4,11.4,10.64,11.08,10.76758019,109612,395,1180256,83715,76.37,0.76,-0.32
11-Jun-14,11.85,11.95,11.12,11.2,11.66276627,65207,307,760494,48549,74.45,0.83,-0.65
10-Jun-14,12.1,12.4,11.27,11.58,11.62455277,110122,435,1280119,61006,55.4,1.13,-0.52
9-Jun-14,11.79,11.95,11.7,11.86,11.90119827,199288,581,2371766,173207,86.91,0.25,0.07
6-Jun-14,11.37,11.4,11.3,11.39,11.3955212,156649,326,1785097,145649,92.98,0.1,0.02
5-Jun-14,10.76,10.86,10.56,10.86,10.85537498,107312,181,1164912,105905,98.69,0.3,0.1
4-Jun-14,10,10.46,10,10.35,10.36088455,101520,361,1051837,67234,66.23,0.46,0.35
3-Jun-14,10,10.12,9.61,9.97,9.918787097,60483,262,599918,51622,85.35,0.51,-0.03
2-Jun-14,10,10,9.17,9.64,9.560108049,85887,361,821089,66180,77.05,0.83,-0.36
30-May-14,9.99,10.25,9.5,9.64,9.723596564,91276,342,887531,80115,87.77,0.75,-0.35
29-May-14,10.54,10.97,9.93,9.99,10.11947368,61863,331,626021,48440,78.3,1.04,-0.55
28-May-14,10.6,10.7,10.05,10.54,10.35363475,81505,436,843873,65297,80.11,0.65,-0.06
27-May-14,11.5,11.5,10.6,10.63,10.84338064,57362,378,621998,46801,81.59,0.9,-0.87
26-May-14,12.71,13.2,11.39,11.77,12.17026607,296947,976,3613924,223400,75.23,1.81,-0.94
23-May-14,12.3,13.24,12.1,12.65,12.73746775,279040,757,3554263,245964,88.15,1.14,0.35
22-May-14,11.4,11.99,11.4,11.79,11.87578552,253972,564,3016117,225187,88.67,0.59,0.39
21-May-14,10.9,11.5,10.47,11.47,11.21553095,265470,617,2977387,203950,76.83,1.03,0.57
20-May-14,10,10.9,9.6,10.77,10.48987283,227655,460,2388072,159571,70.09,1.3,0.77
19-May-14,9.45,10.45,8.9,10.15,9.834733218,107747,388,1059663,95306,88.45,1.55,0.7
16-May-14,8.86,9.49,8.81,8.86,8.970963295,34818,241,312351,30929,88.83,0.68,0
15-May-14,9.1,9.5,9,9.04,9.111202454,49873,275,454403,42594,85.4,0.5,-0.06
14-May-14,9.5,9.7,9.05,9.43,9.359551603,21588,183,202054,15866,73.49,0.65,-0.07
13-May-14,9,9.55,9,9.52,9.334014573,22508,217,210090,20458,90.89,0.55,0.52
12-May-14,9.35,9.75,9.05,9.14,9.343732815,27277,206,254869,18770,68.81,0.7,-0.21
9-May-14,9.05,9.7,8.51,9.09,9.27756654,11046,250,102480,7715,69.84,1.19,0.04
8-May-14,9.01,9.4,9.01,9.03,9.064258217,3377,58,30610,3052,90.38,0.39,0.02
7-May-14,9.05,9.49,9,9.01,9.092561983,4235,34,38507,4225,99.76,0.49,-0.04
6-May-14,9.17,9.5,9,9.2,9.159058586,21797,99,199640,19597,89.91,0.5,0.03
5-May-14,9.5,9.74,9.12,9.3,9.371094905,20294,112,190177,16387,80.75,0.62,-0.2
2-May-14,9.88,9.88,9.3,9.45,9.509060326,13079,112,124369,10401,79.52,0.58,-0.43
30-Apr-14,9.66,9.93,9.66,9.7,9.753728842,11934,106,116401,8403,70.41,0.27,0.04
29-Apr-14,9.73,10.15,9.67,10.04,9.983374586,21413,106,213774,19041,88.92,0.48,0.31
28-Apr-14,9.51,10.3,9.51,9.83,9.776356148,11411,97,111558,8362,73.28,0.79,0.32
25-Apr-14,10.75,10.75,9.55,9.71,9.781976498,11829,80,115711,9494,80.26,1.2,-1.04
23-Apr-14,9.52,10,9.52,9.94,9.899844036,29494,110,291986,25905,87.83,0.48,0.42
22-Apr-14,9.99,9.99,9.6,9.69,9.801726496,32899,128,322467,29612,90.01,0.39,-0.3
21-Apr-14,9.9,10,9.74,9.85,9.911113432,28722,108,284667,26825,93.4,0.26,-0.05
17-Apr-14,10.15,10.15,9.9,10,10.05285429,12525,100,125912,11599,92.61,0.25,-0.15
16-Apr-14,10.01,10.4,9.81,9.94,10.08627217,10038,84,101246,9143,91.08,0.59,-0.07
15-Apr-14,10.21,10.35,10.21,10.32,10.26737481,6590,53,67662,5373,81.53,0.14,0.11
11-Apr-14,10.3,10.6,10.07,10.2,10.34075095,89247,171,922881,61151,68.52,0.53,-0.1
10-Apr-14,10.45,10.9,10.4,10.78,10.67995841,79824,183,852517,75329,94.37,0.5,0.33
9-Apr-14,10.6,10.6,10.24,10.43,10.46032767,26429,144,276456,23028,43.57,0.36,-0.17
7-Apr-14,10.2,10.9,10.03,10.6,10.40280684,39190,197,407686,34786,44.38,0.87,0.4
4-Apr-14,10.29,10.75,10.01,10.21,10.31843799,39923,269,411943,23216,58.15,0.74,-0.08
3-Apr-14,9.9,10.55,9.9,10.29,10.24000088,90933,285,931154,85184,93.68,0.65,0.39
2-Apr-14,9.02,10,9.02,9.88,9.759623171,37046,241,361555,32936,88.91,0.98,0.86
1-Apr-14,9.12,9.75,9.12,9.58,9.406687814,22698,97,213513,19352,85.26,0.63,0.46
31-Mar-14,9,10,9,9.48,9.408826945,22386,139,210626,16139,72.09,1,0.48
28-Mar-14,9.01,10,8.5,9.77,9.426437015,44241,242,417035,37419,84.58,1.5,0.76
27-Mar-14,9.2,9.26,8.95,9.23,9.159421706,10237,51,93765,10137,99.02,0.31,0.03
26-Mar-14,9.06,9.18,9,9,9.056283802,54545,134,493975,53795,98.62,0.18,-0.06
25-Mar-14,9.05,9.5,9.05,9.13,9.21990706,6671,68,61506,5830,87.39,0.45,0.08
24-Mar-14,9.1,9.2,8.9,9.03,9.044801323,29017,122,262453,26102,89.95,0.3,-0.07
21-Mar-14,9,9.1,8.7,8.97,9.028847392,23295,124,210327,21642,92.9,0.4,-0.03
20-Mar-14,9.23,9.23,8.93,8.93,9.010556622,18756,86,169002,18352,97.85,0.3,-0.3
19-Mar-14,9,9.3,9,9.23,9.182684748,10176,61,93443,9014,88.58,0.3,0.23
18-Mar-14,9,9.1,8.8,9.05,9.025920092,6983,71,63028,5981,85.65,0.3,0.05
14-Mar-14,9.5,9.5,8.75,9.08,9.005732241,23551,191,212094,16511,70.11,0.75,-0.42
13-Mar-14,10.2,10.2,9.21,9.41,9.653128822,19624,145,189433,12631,64.37,0.99,-0.79
12-Mar-14,10.45,10.45,9.84,10.14,10.24765174,37581,240,385117,32210,85.71,0.61,-0.31
11-Mar-14,9.3,10.4,9.3,9.93,9.795990067,120401,594,1179447,111843,92.89,1.1,0.63
10-Mar-14,8.4,9.5,8.4,9,9.051440429,41446,288,375146,39213,94.61,1.1,0.6
